brand,category,condition,countryOfManufacture,dataType,description,listingType,media,name,productCategory,shoe,shortDescription,tickerSymbol,title,traits,urlKey,year,market,_tags
Topps,Trading Cards Baseball,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Walker-Buehler-2018-Topps-Chrome-Rookie-Refractor-71-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322156', 'smallImageUrl': 'https://stockx.imgix.net/images/Walker-Buehler-2018-Topps-Chrome-Rookie-Refractor-71-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322156', 'thumbUrl': 'https://stockx.imgix.net/images/Walker-Buehler-2018-Topps-Chrome-Rookie-Refractor-71-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322156', 'gallery': [], 'hidden': False}",Rookie Refractor #71,collectibles,Topps Rookie Refractor #71,Walker-Buehler-2018-Topps-Chrome-Rookie-Refractor-71,TP-WB2TCRR18,Walker Buehler 2018 Topps Chrome Rookie Refractor #71,"[{'name': 'Year', 'value': '2018', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#71', 'filterable': False, 'visible': True, 'highlight': False}]",walker-buehler-2018-topps-chrome-rookie-refractor-71,0,"{'productId': 0, 'skuUuid': '', 'productUuid': 'e021190d-e1b3-4ad0-8c60-01fb3de5c9a6', 'lowestAsk': 110, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 1, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 55, 'highestBidSize': 'PSA 10', 'numberOfBids': 2, 'hasBids': 1, 'annualHigh': 110, 'annualLow': 110, 'deadstockRangeLow': 99, 'deadstockRangeHigh': 121, 'volatility': 0, 'deadstockSold': 1, 'pricePremium': 0, 'averageDeadstockPrice': 110, 'lastSale': 110, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 0, 'changeValue': 0, 'changePercentage': 0, 'absChangePercentage': 0, 'totalDollars': 110, 'lastLowestAskTime': 0, 'lastHighestBidTime': 1607063179, 'lastSaleDate': '2020-08-19T02:35:01+00:00', 'createdAt': '2019-10-01T15:15:17+00:00', 'updatedAt': 1607063179, 'deadstockSoldRank': 11, 'pricePremiumRank': 69, 'averageDeadstockPriceRank': 62, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'los angeles dodgers']"
Topps,Trading Cards Football,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Steve-Young-1984-Topps-USFL-Rookie-52-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606316556', 'smallImageUrl': 'https://stockx.imgix.net/images/Steve-Young-1984-Topps-USFL-Rookie-52-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606316556', 'thumbUrl': 'https://stockx.imgix.net/images/Steve-Young-1984-Topps-USFL-Rookie-52-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606316556', 'gallery': [], 'hidden': False}",Rookie #52,collectibles,Topps Rookie #52,Steve-Young-1984-Topps-USFL-Rookie-52,TP-SY1TUR84,Steve Young 1984 Topps USFL Rookie #52,"[{'name': 'Year', 'value': '1984', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#52', 'filterable': False, 'visible': True, 'highlight': False}]",steve-young-1984-topps-usfl-rookie-52,0,"{'productId': 0, 'skuUuid': '', 'productUuid': 'af7663a1-5f53-4d92-8bf8-7a61d2e9ebf4', 'lowestAsk': 500, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 1, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 0, 'highestBidSize': '', 'numberOfBids': 0, 'hasBids': 0, 'annualHigh': 0, 'annualLow': 0, 'deadstockRangeLow': 0, 'deadstockRangeHigh': 0, 'volatility': 0, 'deadstockSold': 0, 'pricePremium': 0, 'averageDeadstockPrice': 0, 'lastSale': 0, 'lastSaleSize': '', 'salesLast72Hours': 0, 'changeValue': 0, 'changePercentage': 0, 'absChangePercentage': 0, 'totalDollars': 0, 'lastLowestAskTime': 0, 'lastHighestBidTime': 0, 'lastSaleDate': '', 'createdAt': '2019-10-01T15:15:22+00:00', 'updatedAt': 1607388313, 'deadstockSoldRank': 8, 'pricePremiumRank': 38, 'averageDeadstockPriceRank': 77, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'football', 'la express']"
Pokemon,Trading Cards Sealed Boxes,New,US,product,"Take on the strongest trainers in the Galar region with the 2020 Pokemon TCG Champion's Path Elite Trainers box. Each box comes epuipped with 10 Pokemon TCG: Champion's Path booster packs, 1 full art promo card of Charizard V, 65 card sleeves featuring Gigantamax Charizard, 45 Pokemon TCG Energy cards, a players guide to the Champion's path expansion, a Pokemon TCG rulebook, 6 damage-counter dice, and a collector's box to hold everything. Break the box to search for Charizard V SCR, Charizard VMAX SCR, and many more! Now add to your collection with the first major release since Champion's Path with the <a href=""https://stockx.com/2020-pokemon-tcg-sword-shield-vivid-voltage-elite-trainer-box"">Sword & Shield — Vivid Voltage expansion.</a>",standard,"{'imageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-Champions-Path-Elite-Trainer-Box.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605834876', 'smallImageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-Champions-Path-Elite-Trainer-Box.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605834876', 'thumbUrl': 'https://stockx.imgix.net/images/2020-Pokemon-Champions-Path-Elite-Trainer-Box.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605834876', 'gallery': [], 'hidden': False}",Elite Trainer Box,collectibles,Pokemon Elite Trainer Box,2020-Pokemon-Champions-Path-Elite-Trainer-Box,P-2PCPETB20,2020 Pokemon Champions Path Elite Trainer Box,"[{'name': 'Year', 'value': '2020', 'filterable': False, 'visible': True, 'highlight': False}]",2020-pokemon-champions-path-elite-trainer-box,0,"{'productId': 0, 'skuUuid': '', 'productUuid': 'aa124bac-e3f2-4214-820e-7454d146c7a9', 'lowestAsk': 58, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 412, 'hasAsks': 1, 'salesThisPeriod': 86, 'salesLastPeriod': 0, 'highestBid': 55, 'highestBidSize': '', 'numberOfBids': 88, 'hasBids': 1, 'annualHigh': 118, 'annualLow': 53, 'deadstockRangeLow': 51, 'deadstockRangeHigh': 65, 'volatility': 0.124109, 'deadstockSold': 2450, 'pricePremium': 0, 'averageDeadstockPrice': 74, 'lastSale': 58, 'lastSaleSize': '', 'salesLast72Hours': 86, 'changeValue': 0, 'changePercentage': 0, 'absChangePercentage': 0, 'totalDollars': 181176, 'lastLowestAskTime': 1608576591, 'lastHighestBidTime': 1608496152, 'lastSaleDate': '2020-12-21T18:05:24+00:00', 'createdAt': '2020-09-23T22:28:23+00:00', 'updatedAt': 1608576591, 'deadstockSoldRank': 50, 'pricePremiumRank': 39, 'averageDeadstockPriceRank': 4, 'featured': 0}","['collectibles', 'pokemon', 'trading cards', 'sealed boxes', '2020', 'pokemon']"
Pokemon TCG,Trading Cards Sealed Boxes,New,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/2016-Pokemon-TCGXY-Evolutions-Elite-Trainer-Box-Charizard-and-Blastoise-Lot.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606933839', 'smallImageUrl': 'https://stockx.imgix.net/images/2016-Pokemon-TCGXY-Evolutions-Elite-Trainer-Box-Charizard-and-Blastoise-Lot.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606933839', 'thumbUrl': 'https://stockx.imgix.net/images/2016-Pokemon-TCGXY-Evolutions-Elite-Trainer-Box-Charizard-and-Blastoise-Lot.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606933839', 'gallery': [], 'hidden': False}",Evolutions Elite Trainer Box Charizard and Blastoise Lot,collectibles,Pokemon TCG Evolutions Elite Trainer Box Charizard and Blastoise Lot,2016-Pokemon-TCGXY-Evolutions-Elite-Trainer-Box-Charizard-and-Blastoise-Lot,PTCG-2PTEETBCaB,2016 Pokemon TCGXY Evolutions Elite Trainer Box Charizard and Blastoise Lot,"[{'name': 'Year', 'value': '2016', 'filterable': False, 'visible': True, 'highlight': False}]",2016-pokemon-tcgxy-evolutions-elite-trainer-box-charizard-and-blastoise-lot,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '3e4a0fc9-b29e-4ca7-811a-39eb41318cad', 'lowestAsk': 151, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 77, 'hasAsks': 1, 'salesThisPeriod': 40, 'salesLastPeriod': 0, 'highestBid': 146, 'highestBidSize': '', 'numberOfBids': 68, 'hasBids': 1, 'annualHigh': 270, 'annualLow': 121, 'deadstockRangeLow': 172, 'deadstockRangeHigh': 220, 'volatility': 0.122393, 'deadstockSold': 677, 'pricePremium': 0, 'averageDeadstockPrice': 174, 'lastSale': 196, 'lastSaleSize': '', 'salesLast72Hours': 40, 'changeValue': -4, 'changePercentage': -0.024243, 'absChangePercentage': 0.024243, 'totalDollars': 118080, 'lastLowestAskTime': 1608574887, 'lastHighestBidTime': 1608569642, 'lastSaleDate': '2020-12-21T14:15:52+00:00', 'createdAt': '2020-10-21T21:15:11+00:00', 'updatedAt': 1608575265, 'deadstockSoldRank': 9, 'pricePremiumRank': 68, 'averageDeadstockPriceRank': 33, 'featured': 0}","['collectibles', 'pokemon tcg', 'trading cards', 'sealed boxes']"
Panini,Trading Cards Sealed Boxes,New,US,product,"The 2019-2020 Panini NBA Hoops Premium Stock Box Set gives an updated look to the classic Hoops release. The box set was originally released through Target for $150 and gives collectors all 300 cards from the base set in a Pulsar parallel. Each 2019-20 Panini NBA Hoops Premium Box Set also comes with 5 bonus Pulsar Prizms, these can be Red, Blue, Green, Gold or Black Pulsar versions. The checklist includes rookie cards for Zion Williamson, Ja Morant, Rui Hachimura, RJ Barrett and more!",standard,"{'imageUrl': 'https://stockx.imgix.net/images/2019-20-Panini-NBA-Hoops-Premium-Stock-Box-Set.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607097761', 'smallImageUrl': 'https://stockx.imgix.net/images/2019-20-Panini-NBA-Hoops-Premium-Stock-Box-Set.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607097761', 'thumbUrl': 'https://stockx.imgix.net/images/2019-20-Panini-NBA-Hoops-Premium-Stock-Box-Set.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607097761', 'gallery': [], 'hidden': False}",Premium Stock Box Set,collectibles,Panini Premium Stock Box Set,2019-20-Panini-NBA-Hoops-Premium-Stock-Box-Set,PN-2PNHPSBS20,2019-20 Panini NBA Hoops Premium Stock Box Set,"[{'name': 'Year', 'value': '2019-20', 'filterable': False, 'visible': True, 'highlight': False}]",2019-20-panini-nba-hoops-premium-stock-box-set,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '94ccb668-ee57-4386-961b-fb369b067150', 'lowestAsk': 228, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 35, 'hasAsks': 1, 'salesThisPeriod': 38, 'salesLastPeriod': 0, 'highestBid': 219, 'highestBidSize': '', 'numberOfBids': 35, 'hasBids': 1, 'annualHigh': 230, 'annualLow': 189, 'deadstockRangeLow': 224, 'deadstockRangeHigh': 232, 'volatility': 0.015386, 'deadstockSold': 283, 'pricePremium': 0, 'averageDeadstockPrice': 208, 'lastSale': 228, 'lastSaleSize': '', 'salesLast72Hours': 38, 'changeValue': 8, 'changePercentage': 0.036364, 'absChangePercentage': 0.036364, 'totalDollars': 58847, 'lastLowestAskTime': 1608574599, 'lastHighestBidTime': 1608545264, 'lastSaleDate': '2020-12-21T18:12:34+00:00', 'createdAt': '2020-12-04T16:02:42+00:00', 'updatedAt': 1608574599, 'deadstockSoldRank': 58, 'pricePremiumRank': 34, 'averageDeadstockPriceRank': 45, 'featured': 0}","['collectibles', 'panini', 'trading cards', 'sealed boxes']"
Pokemon TCG,Trading Cards Sealed Boxes,New,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-XY-Evolutions-Kanto-Power-Collection-Mewtwo-EX-Dragonite-EX-Bundle.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606933176', 'smallImageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-XY-Evolutions-Kanto-Power-Collection-Mewtwo-EX-Dragonite-EX-Bundle.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606933176', 'thumbUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-XY-Evolutions-Kanto-Power-Collection-Mewtwo-EX-Dragonite-EX-Bundle.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606933176', 'gallery': [], 'hidden': False}",Evolutions Kanto Power Collection Mewtwo-EX & Dragonite-EX Bundle,collectibles,Pokemon TCG Evolutions Kanto Power Collection Mewtwo-EX & Dragonite-EX Bundle,2020-Pokemon-TCG-XY-Evolutions-Kanto-Power-Collection-Mewtwo-EX-Dragonite-EX-Bundle,PTCG-2PTXEKPCM2,2020 Pokemon TCG XY Evolutions Kanto Power Collection Mewtwo-EX & Dragonite-EX Bundle,"[{'name': 'Year', 'value': '2020', 'filterable': False, 'visible': True, 'highlight': False}]",2020-pokemon-tcg-xy-evolutions-kanto-power-collection-mewtwo-ex-dragonite-ex-bundle,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '3255ea4a-364b-4bf3-a5ce-643c3169c79f', 'lowestAsk': 175, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 44, 'hasAsks': 1, 'salesThisPeriod': 34, 'salesLastPeriod': 0, 'highestBid': 167, 'highestBidSize': '', 'numberOfBids': 61, 'hasBids': 1, 'annualHigh': 239, 'annualLow': 110, 'deadstockRangeLow': 155, 'deadstockRangeHigh': 197, 'volatility': 0.119192, 'deadstockSold': 615, 'pricePremium': 0, 'averageDeadstockPrice': 184, 'lastSale': 176, 'lastSaleSize': '', 'salesLast72Hours': 34, 'changeValue': -26, 'changePercentage': -0.131462, 'absChangePercentage': 0.131462, 'totalDollars': 113051, 'lastLowestAskTime': 1608554019, 'lastHighestBidTime': 1608571019, 'lastSaleDate': '2020-12-21T09:02:04+00:00', 'createdAt': '2020-10-27T15:08:20+00:00', 'updatedAt': 1608571019, 'deadstockSoldRank': 91, 'pricePremiumRank': 40, 'averageDeadstockPriceRank': 2, 'featured': 0}","['collectibles', 'pokemon tcg', 'trading cards', 'sealed boxes']"
Pokemon TCG,Trading Cards Sealed Boxes,New,US,product,"Take on the strongest trainers in the Galar region with the 2020 Pokemon TCG Champion's Path Elite Trainers box. Each box comes epuipped with 10 Pokemon TCG: Champion's Path booster packs, 1 full art promo card of Charizard V, 65 card sleeves featuring Gigantamax Charizard, 45 Pokemon TCG Energy cards, a players guide to the Champion's path expansion, a Pokemon TCG rulebook, 6 damage-counter dice, and a collector's box to hold everything. Break the box to search for Charizard V SCR, Charizard VMAX SCR, and many more! Now add to your collection with the first major release since Champion's Path with the  <a href=""https://stockx.com/2020-pokemon-tcg-sword-shield-vivid-voltage-elite-trainer-box"">Sword & Shield—Vivid Voltage expansion.</a>",standard,"{'imageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Champions-Path-Elite-Trainer-Box-4X-Lot.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605836043', 'smallImageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Champions-Path-Elite-Trainer-Box-4X-Lot.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605836043', 'thumbUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Champions-Path-Elite-Trainer-Box-4X-Lot.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605836043', 'gallery': [], 'hidden': False}",Champions Path Elite Trainer Box 4X Lot,collectibles,Pokemon TCG Champions Path Elite Trainer Box 4X Lot,2020-Pokemon-TCG-Champions-Path-Elite-Trainer-Box-4X-Lot,PTCG-2PTCPET99,2020 Pokemon TCG Champions Path Elite Trainer Box 4X Lot,"[{'name': 'Year', 'value': '2020', 'filterable': False, 'visible': True, 'highlight': False}]",2020-pokemon-tcg-champions-path-elite-trainer-box-4x-lot,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '5b298961-4406-4d40-bc0f-d5a6f3ea8ca9', 'lowestAsk': 231, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 137, 'hasAsks': 1, 'salesThisPeriod': 33, 'salesLastPeriod': 0, 'highestBid': 222, 'highestBidSize': '', 'numberOfBids': 56, 'hasBids': 1, 'annualHigh': 429, 'annualLow': 218, 'deadstockRangeLow': 205, 'deadstockRangeHigh': 259, 'volatility': 0.115329, 'deadstockSold': 1019, 'pricePremium': 0, 'averageDeadstockPrice': 274, 'lastSale': 232, 'lastSaleSize': '', 'salesLast72Hours': 33, 'changeValue': -69, 'changePercentage': -0.231757, 'absChangePercentage': 0.231757, 'totalDollars': 279436, 'lastLowestAskTime': 1608573764, 'lastHighestBidTime': 1608500853, 'lastSaleDate': '2020-12-21T15:21:29+00:00', 'createdAt': '2020-10-15T15:22:38+00:00', 'updatedAt': 1608573765, 'deadstockSoldRank': 91, 'pricePremiumRank': 51, 'averageDeadstockPriceRank': 44, 'featured': 0}","['collectibles', 'pokemon tcg', 'trading cards', 'sealed boxes']"
Pokemon TCG,Trading Cards Sealed Boxes,New,US,product,"Unleash the maximum power of Pokémon V and Pokémon VMAX with the 2020 Pokémon TCG Sword & Shield - Vivid Voltage Booster Box! Released on November 13, 2020, look for the newly discovered Mythical Pokémon Zarude and the majesty of Gigantamax Pikachu. Each Pokémon TCG: Sword & Shield - Vivid Voltage Booster Box comes with over 185 cards, 11 Powerful V and 6 enormous Pokémon VMAX, and More than 15 Trainer cards and 4 new Special Energy cards. Put a little color and a lot of spark into your deck or collection with the Sword & Shield—Vivid Voltage expansion!",standard,"{'imageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Sword-Shield-Vivid-Voltage-Booster-Box.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606932090', 'smallImageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Sword-Shield-Vivid-Voltage-Booster-Box.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606932090', 'thumbUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Sword-Shield-Vivid-Voltage-Booster-Box.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606932090', 'gallery': [], 'hidden': False}",Vivid Voltage Booster Box,collectibles,Pokemon TCG Vivid Voltage Booster Box,2020-Pokemon-TCG-Sword-Shield-Vivid-Voltage-Booster-Box,PTCG-2PTSSVVBB,2020 Pokemon TCG Sword & Shield Vivid Voltage Booster Box,"[{'name': 'Year', 'value': '2020', 'filterable': False, 'visible': True, 'highlight': False}]",2020-pokemon-tcg-sword-shield-vivid-voltage-booster-box,0,"{'productId': 0, 'skuUuid': '', 'productUuid': 'f01ac40e-f832-4687-a38e-18ca5a3a44b3', 'lowestAsk': 133, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 52, 'hasAsks': 1, 'salesThisPeriod': 32, 'salesLastPeriod': 0, 'highestBid': 122, 'highestBidSize': '', 'numberOfBids': 41, 'hasBids': 1, 'annualHigh': 195, 'annualLow': 118, 'deadstockRangeLow': 156, 'deadstockRangeHigh': 202, 'volatility': 0.127762, 'deadstockSold': 292, 'pricePremium': 0, 'averageDeadstockPrice': 146, 'lastSale': 179, 'lastSaleSize': '', 'salesLast72Hours': 32, 'changeValue': 0, 'changePercentage': 0, 'absChangePercentage': 0, 'totalDollars': 42493, 'lastLowestAskTime': 1608570990, 'lastHighestBidTime': 1608372293, 'lastSaleDate': '2020-12-21T16:26:45+00:00', 'createdAt': '2020-10-27T15:08:19+00:00', 'updatedAt': 1608570990, 'deadstockSoldRank': 82, 'pricePremiumRank': 46, 'averageDeadstockPriceRank': 40, 'featured': 0}","['collectibles', 'pokemon tcg', 'trading cards', 'sealed boxes']"
Panini,Trading Cards Sealed Boxes,New,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/2020-Panini-Prizm-Draft-Picks-Basketball-Mega-Box-Red-Ice-Parallels.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605920645', 'smallImageUrl': 'https://stockx.imgix.net/images/2020-Panini-Prizm-Draft-Picks-Basketball-Mega-Box-Red-Ice-Parallels.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605920645', 'thumbUrl': 'https://stockx.imgix.net/images/2020-Panini-Prizm-Draft-Picks-Basketball-Mega-Box-Red-Ice-Parallels.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1605920645', 'gallery': [], 'hidden': False}",Basketball Mega Box (Red Ice Parallels),collectibles,Panini Basketball Mega Box (Red Ice Parallels),2020-Panini-Prizm-Draft-Picks-Basketball-Mega-Box-Red-Ice-Parallels,PN-2PPDPBMBI20,2020 Panini Prizm Draft Picks Basketball Mega Box (Red Ice Parallels),"[{'name': 'Year', 'value': '2020', 'filterable': False, 'visible': True, 'highlight': False}]",2020-panini-prizm-draft-picks-basketball-mega-box-red-ice-parallels,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '9386d2ae-2e60-4173-a30f-82d718f06887', 'lowestAsk': 53, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 63, 'hasAsks': 1, 'salesThisPeriod': 32, 'salesLastPeriod': 0, 'highestBid': 49, 'highestBidSize': '', 'numberOfBids': 14, 'hasBids': 1, 'annualHigh': 81, 'annualLow': 48, 'deadstockRangeLow': 47, 'deadstockRangeHigh': 59, 'volatility': 0.106902, 'deadstockSold': 211, 'pricePremium': 0, 'averageDeadstockPrice': 56, 'lastSale': 53, 'lastSaleSize': '', 'salesLast72Hours': 32, 'changeValue': 0, 'changePercentage': 0, 'absChangePercentage': 0, 'totalDollars': 11789, 'lastLowestAskTime': 1608568033, 'lastHighestBidTime': 1608554473, 'lastSaleDate': '2020-12-21T16:18:35+00:00', 'createdAt': '2020-11-21T01:04:05+00:00', 'updatedAt': 1608569598, 'deadstockSoldRank': 27, 'pricePremiumRank': 6, 'averageDeadstockPriceRank': 5, 'featured': 0}","['collectibles', 'panini', 'trading cards', 'sealed boxes', '2020', 'baksetball']"
Pokemon TCG,Trading Cards Sealed Boxes,New,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Jirachi-GX-Collection.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606932734', 'smallImageUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Jirachi-GX-Collection.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606932734', 'thumbUrl': 'https://stockx.imgix.net/images/2020-Pokemon-TCG-Jirachi-GX-Collection.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606932734', 'gallery': [], 'hidden': False}",Collection,collectibles,Pokemon TCG Collection,2020-Pokemon-TCG-Jirachi-GX-Collection,PTCG-2PTJC20,2020 Pokemon TCG Jirachi-GX Collection,"[{'name': 'Year', 'value': '2020', 'filterable': False, 'visible': True, 'highlight': False}]",2020-pokemon-tcg-jirachi-gx-collection,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '54af354f-ebf6-4d29-a75e-5420adb5e175', 'lowestAsk': 27, 'lowestAskSize': '', 'parentLowestAsk': 0, 'numberOfAsks': 100, 'hasAsks': 1, 'salesThisPeriod': 29, 'salesLastPeriod': 0, 'highestBid': 25, 'highestBidSize': '', 'numberOfBids': 32, 'hasBids': 1, 'annualHigh': 55, 'annualLow': 23, 'deadstockRangeLow': 22, 'deadstockRangeHigh': 32, 'volatility': 0.1705, 'deadstockSold': 479, 'pricePremium': 0, 'averageDeadstockPrice': 29, 'lastSale': 27, 'lastSaleSize': '', 'salesLast72Hours': 29, 'changeValue': 0, 'changePercentage': 0, 'absChangePercentage': 0, 'totalDollars': 14083, 'lastLowestAskTime': 1608575130, 'lastHighestBidTime': 1608490032, 'lastSaleDate': '2020-12-21T18:24:36+00:00', 'createdAt': '2020-11-04T20:05:01+00:00', 'updatedAt': 1608575130, 'deadstockSoldRank': 90, 'pricePremiumRank': 28, 'averageDeadstockPriceRank': 39, 'featured': 0}","['collectibles', 'pokemon tcg', 'trading cards', 'sealed boxes']"
